id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,quality_score,readability_score,is_multi_table,text_model,vision_model
205,Bar,Medium,16.0231,48.0694,3,5826,1720,7546,1942.0,573.3333,2515.3333,3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
210,Stacked Bar,Extra Hard,7.674,7.674,1,888,272,1160,888.0,272.0,1160.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
211,Stacked Bar,Extra Hard,7.7058,7.7058,1,888,273,1161,888.0,273.0,1161.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
219,Bar,Medium,34.7837,139.135,4,16179,4939,21118,4044.75,1234.75,5279.5,4,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
224,Stacked Bar,Extra Hard,7.2754,21.8263,3,2666,773,3439,888.6667,257.6667,1146.3333,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
225,Stacked Bar,Extra Hard,7.2146,7.2146,1,887,256,1143,887.0,256.0,1143.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
231,Bar,Medium,19.8064,79.2256,4,8787,2828,11615,2196.75,707.0,2903.75,4,0.25,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.25,0.75,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
233,Bar,Medium,11.9486,35.8457,3,4863,1274,6137,1621.0,424.6667,2045.6667,3,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
238,Bar,Medium,23.2214,92.8858,4,8770,3330,12100,2192.5,832.5,3025.0,4,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
246,Bar,Medium,17.3947,69.5788,4,7762,2493,10255,1940.5,623.25,2563.75,4,0.25,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.25,0.75,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
247,Bar,Medium,23.9525,95.8099,4,10976,3431,14407,2744.0,857.75,3601.75,4,0.25,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.25,0.75,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
248,Bar,Medium,33.3136,33.3136,1,2997,1194,4191,2997.0,1194.0,4191.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
252,Pie,Medium,7.0304,14.0607,2,1747,500,2247,873.5,250.0,1123.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
264,Bar,Medium,16.4281,65.7122,4,6702,2362,9064,1675.5,590.5,2266.0,4,0.25,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.25,0.75,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
265,Bar,Medium,23.0609,69.1828,3,4780,2488,7268,1593.3333,829.3333,2422.6667,3,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
267,Line,Easy,19.3025,57.9075,3,6154,2073,8227,2051.3333,691.0,2742.3333,3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
273,Line,Medium,10.4499,41.7998,4,3526,1497,5023,881.5,374.25,1255.75,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
285,Bar,Medium,8.3909,8.3909,1,1668,282,1950,1668.0,282.0,1950.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
286,Bar,Medium,8.345,8.345,1,1670,292,1962,1670.0,292.0,1962.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
291,Bar,Hard,12.7744,12.7744,1,1673,458,2131,1673.0,458.0,2131.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
292,Scatter,Medium,15.2123,30.4247,2,5314,1055,6369,2657.0,527.5,3184.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
293,Bar,Hard,13.6621,13.6621,1,1678,490,2168,1678.0,490.0,2168.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
295,Bar,Hard,13.9915,27.9829,2,3354,994,4348,1677.0,497.0,2174.0,2,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
296,Bar,Hard,14.2965,14.2965,1,1680,513,2193,1680.0,513.0,2193.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
297,Bar,Medium,7.0848,14.1696,2,3346,493,3839,1673.0,246.5,1919.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
306,Pie,Easy,6.3497,19.049,3,2989,666,3655,996.3333,222.0,1218.3333,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
308,Scatter,Easy,29.1031,58.2061,2,11100,2020,13120,5550.0,1010.0,6560.0,2,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
312,Pie,Hard,13.4279,26.8557,2,2580,956,3536,1290.0,478.0,1768.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
316,Line,Medium,8.0835,24.2505,3,5007,847,5854,1669.0,282.3333,1951.3333,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
328,Scatter,Medium,14.096,28.1921,2,5218,971,6189,2609.0,485.5,3094.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
335,Bar,Medium,39.7068,39.7068,1,3582,1409,4991,3582.0,1409.0,4991.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
338,Pie,Easy,7.1466,7.1466,1,994,252,1246,994.0,252.0,1246.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
340,Bar,Medium,9.1254,9.1254,1,1672,320,1992,1672.0,320.0,1992.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
342,Line,Medium,9.6863,19.3727,2,3365,680,4045,1682.5,340.0,2022.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
354,Scatter,Easy,4.3617,21.8086,5,4217,772,4989,843.4,154.4,997.8,5,0.0,0.2,0.0,0.8,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
367,Bar,Medium,6.8975,13.7951,2,1649,492,2141,824.5,246.0,1070.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
368,Bar,Hard,9.0639,9.0639,1,1132,317,1449,1132.0,317.0,1449.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
370,Pie,Medium,9.9926,9.9926,1,1134,357,1491,1134.0,357.0,1491.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
376,Bar,Easy,6.2488,31.244,5,4779,1108,5887,955.8,221.6,1177.4,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
387,Grouping Scatter,Easy,28.5122,114.0487,4,18594,4073,22667,4648.5,1018.25,5666.75,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
399,Scatter,Easy,8.2861,24.8584,3,4180,876,5056,1393.3333,292.0,1685.3333,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
